
codice_cliente,value_segment,life_stage,num_products,engagement_level,strategic_segment,nba_recommendation,urgency_tier,cluster,num_claims,total_claim_amount,num_complaints,num_interactions,conversion_rate,casa_owned,salute_owned,investimento_owned,pip_owned
11786,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11787,Mid-Retail,Established Family,2,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,3.0,4.0,0.0,0,0,1,0
11788,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11789,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11790,Upper-Retail,Established Professional,1,At-Risk,Investment-Only Affluent,Casa+Salute+Pip,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,1,0
11791,Mid-Retail,Young Professional,1,Neutral,Mid-Retail Young Professional,Casa,MEDIUM,-1,0.0,0.0,1.0,4.0,0.0,0,0,0,0
11792,Mid-Retail,Retired,1,Neutral,Mid-Retail Retired,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11793,Mid-Retail,Retired,1,Champion,Mid-Retail Retired,Casa,CRITICAL,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11794,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11795,Mid-Retail,Young Single,1,At-Risk,Mid-Retail Young Single,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,1,0
11796,Upper-Retail,Established Family,1,Neutral,Upper-Retail Established Family,Casa,MEDIUM,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11797,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,4.0,0.0,0,0,0,0
11798,Mid-Retail,Young Family,0,Neutral,Mid-Retail Young Family,Casa,LOW,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
11799,Upper-Retail,Retired,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,4.0,3.0,0.0,0,0,1,0
11800,Mid-Retail,Young Single,1,Neutral,Mid-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
11801,Mid-Retail,Young Family,1,At-Risk,Mid-Retail Young Family,Casa,LOW,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
11802,Mid-Retail,Retired,2,Champion,Mid-Retail Retired,Casa,CRITICAL,-1,0.0,0.0,3.0,6.0,0.0,0,0,0,0
11803,Mid-Retail,Established Professional,2,Champion,Mid-Retail Established Professional,Casa,CRITICAL,-1,0.0,0.0,2.0,2.0,0.0,0,0,1,0
11804,Upper-Retail,Young Single,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,LOW,3,0.0,0.0,2.0,4.0,0.0,0,0,1,0
11805,Mid-Retail,Established Family,1,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
11806,Mid-Retail,Established Professional,2,At-Risk,Mid-Retail Established Professional,Casa,LOW,-1,0.0,0.0,2.0,0.0,0.0,0,0,1,0
11807,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,3.0,0.0,0,0,0,0
11808,Mid-Retail,Young Single,1,Neutral,Mid-Retail Young Single,Casa,HIGH,-1,0.0,0.0,3.0,2.0,0.0,0,0,1,0
11809,Mid-Retail,Young Single,1,At-Risk,Mid-Retail Young Single,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,1,0
11810,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11811,Mid-Retail,Pre-Retirement,1,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,2.0,4.0,0.0,0,0,0,0
11812,Mid-Retail,Established Professional,1,Neutral,Mid-Retail Established Professional,Casa,LOW,-1,1.0,7544.0,1.0,2.0,0.5,0,0,0,0
11813,Mid-Retail,Established Professional,1,Neutral,Mid-Retail Established Professional,Casa,LOW,-1,0.0,0.0,1.0,0.0,0.0,0,0,0,0
11814,Mid-Retail,Young Professional,2,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
11815,Mid-Retail,Retired,1,Neutral,Mid-Retail Retired,Casa,MEDIUM,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
11816,Mid-Retail,Established Professional,3,Champion,Mid-Retail Established Professional,Casa,HIGH,-1,1.0,4285.0,4.0,1.0,0.0,0,0,1,0
11817,Mid-Retail,Young Single,0,At-Risk,Mid-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11818,Mid-Retail,Pre-Retirement,1,Neutral,Mid-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,2.0,3.0,0.0,0,0,0,0
11819,Upper-Retail,Retired,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,MEDIUM,3,0.0,0.0,2.0,4.0,0.0,0,0,1,0
11820,Upper-Retail,Pre-Retirement,1,Champion,Upper-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
11821,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11822,Mid-Retail,Pre-Retirement,2,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,1.0,5798.0,3.0,1.0,0.0,0,0,0,0
11823,Mid-Retail,Established Professional,3,Champion,Mid-Retail Established Professional,Casa,CRITICAL,-1,0.0,0.0,4.0,5.0,0.2,0,0,1,0
11824,Upper-Retail,Established Professional,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,4.0,2.0,0.0,0,0,1,0
11825,Mid-Retail,Established Family,1,Neutral,Mid-Retail Established Family,Casa,LOW,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
11826,Entry-Retail,Established Family,2,Neutral,Entry-Retail Established Family,Casa,MEDIUM,-1,0.0,0.0,2.0,3.0,0.0,0,0,1,0
11827,Entry-Retail,Young Family,1,Neutral,Entry-Retail Young Family,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11828,Mid-Retail,Pre-Retirement,0,At-Risk,Mid-Retail Pre-Retirement,Casa,MEDIUM,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11829,Mid-Retail,Retired,0,Neutral,Mid-Retail Retired,Casa,HIGH,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11830,Entry-Retail,Young Single,0,Neutral,Entry-Retail Young Single,Casa,HIGH,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
11831,Upper-Retail,Established Family,1,At-Risk,At-Risk High Value,Retention,MEDIUM,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
11832,Mid-Retail,Established Family,1,Neutral,Mid-Retail Established Family,Casa,MEDIUM,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11833,Upper-Retail,Young Professional,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,HIGH,0,1.0,20093.0,3.0,6.0,0.0,0,0,1,0
11834,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11835,Mid-Retail,Established Family,1,Neutral,Mid-Retail Established Family,Casa,MEDIUM,-1,0.0,0.0,1.0,2.0,0.0,0,0,1,0
11836,Upper-Retail,Established Family,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,4,0.0,0.0,4.0,2.0,0.5,0,0,1,0
11837,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11838,Upper-Retail,Established Family,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,HIGH,0,1.0,37593.0,4.0,7.0,0.0,0,0,1,0
11839,Entry-Retail,Young Single,1,Neutral,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11840,Entry-Retail,Young Single,1,Neutral,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11841,Mid-Retail,Young Professional,2,Champion,Mid-Retail Young Professional,Casa,HIGH,-1,0.0,0.0,2.0,1.0,0.0,0,0,1,0
11842,Mid-Retail,Established Professional,3,Champion,Mid-Retail Established Professional,Casa,CRITICAL,-1,0.0,0.0,3.0,1.0,0.0,0,0,1,0
11843,Entry-Retail,Established Family,1,Champion,Entry-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
11844,Mid-Retail,Pre-Retirement,0,Neutral,Mid-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,0.0,3.0,0.0,0,0,0,0
11845,Upper-Retail,Established Family,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,HIGH,1,0.0,0.0,4.0,5.0,0.0,0,0,1,0
11846,Entry-Retail,Young Single,0,Neutral,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
11847,Mid-Retail,Young Professional,2,At-Risk,Mid-Retail Young Professional,Casa,MEDIUM,-1,0.0,0.0,2.0,1.0,0.0,0,0,1,0
11848,Mid-Retail,Established Family,2,Champion,Mid-Retail Established Family,Casa,HIGH,-1,0.0,0.0,2.0,3.0,0.0,0,0,1,0
11849,Mid-Retail,Established Professional,1,Neutral,Mid-Retail Established Professional,Casa,MEDIUM,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11850,Upper-Retail,Young Family,3,Neutral,Investment-Only Affluent,Casa+Salute+Pip,LOW,3,0.0,0.0,4.0,1.0,0.0,0,0,1,0
11851,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
11852,Upper-Retail,Established Family,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,HIGH,3,0.0,0.0,3.0,3.0,0.3333333333333333,0,0,1,0
11853,Upper-Retail,Established Family,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,0,1.0,10065.0,3.0,2.0,0.0,0,0,1,0
11854,Upper-Retail,Established Family,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,LOW,3,0.0,0.0,2.0,6.0,0.0,0,0,1,0
11855,Entry-Retail,Young Family,1,At-Risk,Entry-Retail Young Family,Casa,LOW,-1,0.0,0.0,1.0,0.0,0.0,0,0,0,0
11856,Upper-Retail,Young Single,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,LOW,3,0.0,0.0,2.0,1.0,0.0,0,0,1,0
11857,Mid-Retail,Young Family,3,Champion,Mid-Retail Young Family,Casa,CRITICAL,-1,0.0,0.0,3.0,3.0,0.0,0,0,1,0
11858,Mid-Retail,Established Professional,2,Neutral,Mid-Retail Established Professional,Casa,LOW,-1,1.0,9278.0,2.0,5.0,0.0,0,0,1,0
11859,Mid-Retail,Established Professional,2,Champion,Mid-Retail Established Professional,Casa,HIGH,-1,0.0,0.0,3.0,0.0,0.0,0,0,0,0
11860,Upper-Retail,Young Professional,1,Champion,Upper-Retail Young Professional,Casa,CRITICAL,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11861,Mid-Retail,Retired,0,Neutral,Mid-Retail Retired,Casa,MEDIUM,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11862,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
11863,Upper-Retail,Young Family,2,Neutral,Affluent Young Families,Casa+Salute,LOW,3,0.0,0.0,3.0,0.0,0.0,0,0,1,0
11864,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11865,Upper-Retail,Established Professional,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,HIGH,0,1.0,12103.0,3.0,1.0,0.0,0,0,1,0
11866,Entry-Retail,Retired,2,Champion,Entry-Retail Retired,Casa,CRITICAL,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
11867,Mid-Retail,Young Single,1,Neutral,Mid-Retail Young Single,Casa,LOW,-1,0.0,0.0,1.0,3.0,0.0,0,0,1,0
11868,Entry-Retail,Young Single,0,Neutral,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11869,Mid-Retail,Retired,2,Neutral,Mid-Retail Retired,Casa,LOW,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
11870,Entry-Retail,Established Professional,1,Neutral,Entry-Retail Established Professional,Casa,LOW,-1,0.0,0.0,2.0,0.0,0.0,0,0,0,0
11871,Mid-Retail,Pre-Retirement,1,At-Risk,Mid-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,1.0,0.0,0.0,0,0,0,0
11872,Upper-Retail,Pre-Retirement,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,HIGH,1,0.0,0.0,3.0,1.0,0.0,0,0,1,0
11873,Entry-Retail,Established Family,1,Neutral,Entry-Retail Established Family,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11874,Mid-Retail,Pre-Retirement,2,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,3.0,3.0,0.0,0,0,1,0
11875,Mid-Retail,Young Professional,1,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,1.0,0.0,0.0,0,0,0,0
11876,Mid-Retail,Established Family,3,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,1.0,42042.0,4.0,4.0,0.0,0,0,1,0
11877,Upper-Retail,Pre-Retirement,1,Champion,Upper-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11878,Mid-Retail,Established Professional,3,Champion,Mid-Retail Established Professional,Casa,HIGH,-1,0.0,0.0,4.0,2.0,0.5,0,0,1,0
11879,Entry-Retail,Established Family,1,Champion,Entry-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,2.0,8.0,0.0,0,0,0,0
11880,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,HIGH,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11881,Entry-Retail,Young Professional,0,At-Risk,Entry-Retail Young Professional,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11882,Entry-Retail,Young Professional,0,At-Risk,Entry-Retail Young Professional,Casa,LOW,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11883,Upper-Retail,Established Family,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,3,0.0,0.0,4.0,3.0,0.0,0,0,1,0
11884,Mid-Retail,Pre-Retirement,2,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,1.0,9004.0,2.0,3.0,0.0,0,0,0,0
11885,Entry-Retail,Young Single,1,Neutral,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11886,Upper-Retail,Pre-Retirement,1,Champion,Upper-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,1.0,4.0,0.0,0,0,0,0
11887,Mid-Retail,Pre-Retirement,1,At-Risk,Mid-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
11888,Mid-Retail,Pre-Retirement,1,Champion,Mid-Retail Pre-Retirement,Casa,HIGH,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
11889,Upper-Retail,Established Family,1,At-Risk,At-Risk High Value,Retention,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11890,Upper-Retail,Young Professional,2,At-Risk,Investment-Only Affluent,Casa+Salute+Pip,MEDIUM,3,0.0,0.0,2.0,1.0,0.0,0,0,1,0
11891,Mid-Retail,Young Family,2,At-Risk,Mid-Retail Young Family,Casa,MEDIUM,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
11892,Mid-Retail,Established Family,2,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
11893,Entry-Retail,Young Single,1,Neutral,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,1.0,4.0,0.0,0,0,0,0
11894,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11895,Mid-Retail,Young Family,1,Neutral,Mid-Retail Young Family,Casa,MEDIUM,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
11896,Mid-Retail,Established Family,2,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,2.0,3.0,0.0,0,0,1,0
11897,Upper-Retail,Young Family,3,Neutral,Investment-Only Affluent,Casa+Salute+Pip,LOW,3,0.0,0.0,4.0,2.0,0.5,0,0,1,0
11898,Mid-Retail,Young Professional,2,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,2.0,4.0,0.25,0,0,0,0
11899,Mid-Retail,Established Family,1,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,2.0,4.0,0.0,0,0,0,0
11900,Entry-Retail,Young Professional,0,At-Risk,Entry-Retail Young Professional,Casa,MEDIUM,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11901,Upper-Retail,Established Family,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,HIGH,1,0.0,0.0,4.0,2.0,0.0,0,0,1,0
11902,Upper-Retail,Established Professional,1,Neutral,Upper-Retail Established Professional,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11903,Mid-Retail,Established Professional,1,Neutral,Mid-Retail Established Professional,Casa,LOW,-1,0.0,0.0,2.0,3.0,0.0,0,0,0,0
11904,Upper-Retail,Pre-Retirement,1,Champion,Upper-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,1.0,6.0,0.16666666666666666,0,0,0,0
11905,Mid-Retail,Established Family,2,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,2.0,3.0,0.3333333333333333,0,0,0,0
11906,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11907,Mid-Retail,Pre-Retirement,3,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,3.0,5.0,0.0,0,0,1,0
11908,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11909,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11910,Mid-Retail,Pre-Retirement,0,Champion,Mid-Retail Pre-Retirement,Casa,HIGH,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11911,Mid-Retail,Established Family,2,Neutral,Mid-Retail Established Family,Casa,MEDIUM,-1,1.0,30256.0,3.0,2.0,0.0,0,0,0,0
11912,Mid-Retail,Pre-Retirement,2,Champion,Mid-Retail Pre-Retirement,Casa,CRITICAL,-1,0.0,0.0,3.0,3.0,0.6666666666666666,0,0,0,0
11913,Mid-Retail,Pre-Retirement,2,Neutral,Mid-Retail Pre-Retirement,Casa,LOW,-1,0.0,0.0,3.0,4.0,0.0,0,0,0,0
11914,Entry-Retail,Young Single,1,Neutral,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11915,Mid-Retail,Young Professional,2,Neutral,Mid-Retail Young Professional,Casa,MEDIUM,-1,0.0,0.0,2.0,0.0,0.0,0,0,0,0
11916,Mid-Retail,Established Family,2,Champion,Mid-Retail Established Family,Casa,CRITICAL,-1,0.0,0.0,3.0,5.0,0.0,0,0,1,0
11917,Mid-Retail,Retired,1,Champion,Mid-Retail Retired,Casa,HIGH,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
11918,Mid-Retail,Pre-Retirement,2,Neutral,Mid-Retail Pre-Retirement,Casa,LOW,-1,1.0,9831.0,2.0,3.0,0.0,0,0,0,0
11919,Mid-Retail,Young Professional,3,Neutral,Mid-Retail Young Professional,Casa,MEDIUM,-1,0.0,0.0,4.0,1.0,0.0,0,0,1,0
11920,Mid-Retail,Young Single,0,At-Risk,Mid-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,3.0,0.0,0,0,0,0
11921,Mid-Retail,Young Professional,0,At-Risk,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11922,Upper-Retail,Young Professional,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,4.0,1.0,0.0,0,0,1,0
11923,Upper-Retail,Established Family,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,3,0.0,0.0,3.0,3.0,0.0,0,0,1,0
11924,Mid-Retail,Retired,0,Champion,Mid-Retail Retired,Casa,CRITICAL,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11925,Upper-Retail,Established Professional,0,Neutral,Upper-Retail Established Professional,Casa,HIGH,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
11926,Mid-Retail,Established Family,2,Champion,Mid-Retail Established Family,Casa,HIGH,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
11927,Upper-Retail,Pre-Retirement,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,HIGH,1,0.0,0.0,2.0,5.0,0.0,0,0,1,0
11928,Upper-Retail,Pre-Retirement,2,Neutral,Upper-Retail Pre-Retirement,Casa,LOW,2,0.0,0.0,2.0,1.0,0.0,0,0,0,0
11929,Entry-Retail,Young Family,2,Champion,Entry-Retail Young Family,Casa,HIGH,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
11930,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11931,Upper-Retail,Retired,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,LOW,0,1.0,16484.0,2.0,2.0,0.0,0,0,1,0
11932,Entry-Retail,Established Family,2,Neutral,Entry-Retail Established Family,Casa,LOW,-1,0.0,0.0,3.0,0.0,0.0,0,0,0,0
11933,Upper-Retail,Established Family,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,LOW,3,0.0,0.0,2.0,1.0,0.0,0,0,1,0
11934,Mid-Retail,Retired,1,Champion,Mid-Retail Retired,Casa,CRITICAL,-1,0.0,0.0,1.0,6.0,0.0,0,0,0,0
11935,Mid-Retail,Young Professional,0,At-Risk,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,0.0,2.0,0.0,0,0,0,0
11936,Mid-Retail,Established Family,1,Champion,Mid-Retail Established Family,Casa,HIGH,-1,1.0,16522.0,1.0,2.0,0.0,0,0,0,0
11937,Entry-Retail,Young Single,0,Neutral,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,2.0,0.5,0,0,0,0
11938,Mid-Retail,Retired,1,Neutral,Mid-Retail Retired,Casa,LOW,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
11939,Mid-Retail,Retired,2,Champion,Mid-Retail Retired,Casa,CRITICAL,-1,0.0,0.0,2.0,3.0,0.0,0,0,0,0
11940,Entry-Retail,Young Professional,2,Neutral,Entry-Retail Young Professional,Casa,HIGH,-1,0.0,0.0,2.0,0.0,0.0,0,0,1,0
11941,Entry-Retail,Retired,1,Champion,Entry-Retail Retired,Casa,CRITICAL,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
11942,Mid-Retail,Established Professional,1,Neutral,Mid-Retail Established Professional,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11943,Upper-Retail,Young Professional,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,4,0.0,0.0,3.0,1.0,1.0,0,0,1,0
11944,Mid-Retail,Young Family,2,Neutral,Mid-Retail Young Family,Casa,LOW,-1,0.0,0.0,3.0,0.0,0.0,0,0,0,0
11945,Mid-Retail,Young Professional,2,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,3.0,3.0,0.0,0,0,1,0
11946,Entry-Retail,Retired,2,Neutral,Entry-Retail Retired,Casa,MEDIUM,-1,0.0,0.0,2.0,3.0,0.0,0,0,0,0
11947,Entry-Retail,Young Single,0,At-Risk,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11948,Upper-Retail,Pre-Retirement,2,Champion,Upper-Retail Pre-Retirement,Casa,CRITICAL,2,0.0,0.0,2.0,4.0,0.25,0,0,0,0
11949,Mid-Retail,Pre-Retirement,1,Champion,Mid-Retail Pre-Retirement,Casa,HIGH,-1,0.0,0.0,1.0,3.0,0.0,0,0,0,0
11950,Mid-Retail,Young Professional,2,Neutral,Mid-Retail Young Professional,Casa,LOW,-1,0.0,0.0,2.0,6.0,0.0,0,0,0,0
11951,Mid-Retail,Established Professional,1,Neutral,Mid-Retail Established Professional,Casa,MEDIUM,-1,0.0,0.0,2.0,5.0,0.0,0,0,0,0
11952,Mid-Retail,Established Professional,2,Neutral,Mid-Retail Established Professional,Casa,LOW,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
11953,Mid-Retail,Young Single,0,At-Risk,Mid-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,1.0,0.0,0,0,0,0
11954,Entry-Retail,Retired,1,Champion,Entry-Retail Retired,Casa,CRITICAL,-1,0.0,0.0,1.0,2.0,0.0,0,0,0,0
11955,Upper-Retail,Young Professional,3,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,1,0.0,0.0,3.0,0.0,0.0,0,0,1,0
11956,Entry-Retail,Young Single,0,Neutral,Entry-Retail Young Single,Casa,MEDIUM,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11957,Upper-Retail,Established Family,1,Neutral,Upper-Retail Established Family,Casa,LOW,-1,0.0,0.0,2.0,2.0,0.0,0,0,0,0
11958,Upper-Retail,Established Professional,2,Neutral,Investment-Only Affluent,Casa+Salute+Pip,MEDIUM,3,0.0,0.0,2.0,1.0,0.0,0,0,1,0
11959,Entry-Retail,Retired,2,Neutral,Entry-Retail Retired,Casa,MEDIUM,-1,0.0,0.0,2.0,1.0,0.0,0,0,0,0
11960,Mid-Retail,Young Family,1,At-Risk,Mid-Retail Young Family,Casa,MEDIUM,-1,2.0,13862.0,2.0,1.0,0.0,0,0,0,0
11961,Entry-Retail,Young Single,1,Neutral,Entry-Retail Young Single,Casa,LOW,-1,0.0,0.0,1.0,1.0,0.0,0,0,0,0
11962,Mid-Retail,Young Family,2,Neutral,Mid-Retail Young Family,Casa,MEDIUM,-1,0.0,0.0,3.0,2.0,0.0,0,0,1,0
11963,Upper-Retail,Young Professional,2,Champion,Investment-Only Affluent,Casa+Salute+Pip,CRITICAL,4,0.0,0.0,2.0,2.0,0.5,0,0,1,0
